
step 0: train loss 11.0016, val loss 11.0015
iter 102: loss 4.2124, time 1281.30ms, mfu 2.19%
iter 103: loss 4.2394, time 1278.38ms, mfu 2.19%
iter 104: loss 4.2260, time 1282.78ms, mfu 2.19%
iter 105: loss 4.2044, time 1277.43ms, mfu 2.19%
iter 106: loss 4.2784, time 1286.61ms, mfu 2.19%
iter 107: loss 4.1611, time 1285.32ms, mfu 2.19%
iter 108: loss 4.2746, time 1275.94ms, mfu 2.19%
iter 109: loss 4.2722, time 1275.40ms, mfu 2.19%
iter 110: loss 4.1253, time 1281.15ms, mfu 2.19%
iter 111: loss 4.2102, time 1275.70ms, mfu 2.19%
iter 112: loss 4.1663, time 1284.93ms, mfu 2.19%
iter 113: loss 4.1871, time 1279.88ms, mfu 2.19%
iter 114: loss 4.1830, time 1276.03ms, mfu 2.19%
iter 115: loss 4.1510, time 1275.12ms, mfu 2.19%
iter 116: loss 4.1671, time 1274.53ms, mfu 2.19%
iter 117: loss 4.1455, time 1277.25ms, mfu 2.19%
iter 118: loss 4.0684, time 1277.75ms, mfu 2.19%
iter 119: loss 4.2019, time 1275.90ms, mfu 2.19%
iter 120: loss 4.1357, time 1279.45ms, mfu 2.19%
iter 121: loss 4.1797, time 1277.22ms, mfu 2.19%
iter 122: loss 4.1070, time 1279.21ms, mfu 2.19%
iter 123: loss 4.1496, time 1282.14ms, mfu 2.19%
iter 124: loss 4.1167, time 1276.65ms, mfu 2.19%
iter 125: loss 4.1088, time 1279.54ms, mfu 2.19%
iter 126: loss 4.0616, time 1280.45ms, mfu 2.19%
iter 127: loss 4.0024, time 1279.37ms, mfu 2.19%
iter 128: loss 4.0739, time 1280.70ms, mfu 2.19%
iter 129: loss 3.9832, time 1279.13ms, mfu 2.19%
iter 130: loss 3.9542, time 1285.49ms, mfu 2.19%
iter 131: loss 4.0450, time 1276.25ms, mfu 2.19%
iter 132: loss 4.0021, time 1278.46ms, mfu 2.19%
iter 133: loss 4.0421, time 1275.49ms, mfu 2.19%
iter 134: loss 3.9919, time 1277.26ms, mfu 2.19%
iter 135: loss 4.0587, time 1274.07ms, mfu 2.19%
iter 136: loss 3.9027, time 1273.25ms, mfu 2.20%
iter 137: loss 4.0350, time 1275.42ms, mfu 2.20%
iter 138: loss 4.0096, time 1280.84ms, mfu 2.20%
iter 139: loss 3.9385, time 1274.80ms, mfu 2.20%
iter 140: loss 4.0444, time 1276.97ms, mfu 2.20%
iter 141: loss 3.9940, time 1273.84ms, mfu 2.20%
iter 142: loss 4.0162, time 1274.11ms, mfu 2.20%
iter 143: loss 4.0160, time 1278.46ms, mfu 2.20%
iter 144: loss 3.9514, time 1279.04ms, mfu 2.20%
iter 145: loss 4.0290, time 1275.59ms, mfu 2.20%
iter 146: loss 4.0335, time 1277.18ms, mfu 2.20%
iter 147: loss 3.9305, time 1279.14ms, mfu 2.20%
iter 148: loss 4.0090, time 1281.94ms, mfu 2.20%
iter 149: loss 4.0242, time 1275.65ms, mfu 2.20%
iter 150: loss 3.9878, time 1277.83ms, mfu 2.20%
iter 151: loss 3.9850, time 1277.71ms, mfu 2.20%
iter 152: loss 4.0007, time 1279.16ms, mfu 2.20%
iter 153: loss 4.0469, time 1280.02ms, mfu 2.20%
iter 154: loss 3.9370, time 1291.03ms, mfu 2.19%
iter 155: loss 3.9844, time 1275.84ms, mfu 2.19%
iter 156: loss 3.9539, time 1281.05ms, mfu 2.19%
iter 157: loss 3.9183, time 1277.77ms, mfu 2.19%
iter 158: loss 3.9602, time 1280.60ms, mfu 2.19%
iter 159: loss 3.9700, time 1272.03ms, mfu 2.19%
iter 160: loss 3.9369, time 1276.60ms, mfu 2.19%
iter 161: loss 3.9998, time 1279.85ms, mfu 2.19%
iter 162: loss 3.9315, time 1280.24ms, mfu 2.19%
iter 163: loss 3.9367, time 1279.45ms, mfu 2.19%
iter 164: loss 3.9484, time 1280.25ms, mfu 2.19%
iter 165: loss 3.9431, time 1273.45ms, mfu 2.19%
