
step 0: train loss 11.0016, val loss 11.0015
iter 105: loss 4.2057, time 415.82ms, mfu 7.58%
iter 106: loss 4.2773, time 323.94ms, mfu 7.68%
iter 107: loss 4.1614, time 421.08ms, mfu 7.58%
iter 108: loss 4.2748, time 324.43ms, mfu 7.69%
iter 109: loss 4.2721, time 424.30ms, mfu 7.58%
iter 110: loss 4.1258, time 325.22ms, mfu 7.69%
iter 111: loss 4.2102, time 419.98ms, mfu 7.59%
iter 112: loss 4.1674, time 326.19ms, mfu 7.69%
iter 113: loss 4.1884, time 420.07ms, mfu 7.59%
iter 114: loss 4.1845, time 323.50ms, mfu 7.69%
iter 115: loss 4.1523, time 425.01ms, mfu 7.58%
iter 116: loss 4.1682, time 330.44ms, mfu 7.68%
iter 117: loss 4.1460, time 415.79ms, mfu 7.58%
iter 118: loss 4.0697, time 325.87ms, mfu 7.69%
iter 119: loss 4.2017, time 420.61ms, mfu 7.58%
iter 120: loss 4.1383, time 322.72ms, mfu 7.69%
iter 121: loss 4.1786, time 421.63ms, mfu 7.59%
iter 122: loss 4.1085, time 326.11ms, mfu 7.69%
iter 123: loss 4.1494, time 418.78ms, mfu 7.59%
iter 124: loss 4.1170, time 328.02ms, mfu 7.69%
iter 125: loss 4.1102, time 419.98ms, mfu 7.59%
iter 126: loss 4.0619, time 326.26ms, mfu 7.69%
iter 127: loss 4.0028, time 420.23ms, mfu 7.59%
iter 128: loss 4.0737, time 326.60ms, mfu 7.69%
iter 129: loss 3.9830, time 416.60ms, mfu 7.59%
iter 130: loss 3.9549, time 328.05ms, mfu 7.69%
iter 131: loss 4.0452, time 420.95ms, mfu 7.59%
iter 132: loss 4.0019, time 322.47ms, mfu 7.70%
iter 133: loss 4.0434, time 426.62ms, mfu 7.59%
iter 134: loss 3.9912, time 327.49ms, mfu 7.68%
iter 135: loss 4.0590, time 415.97ms, mfu 7.59%
iter 136: loss 3.9031, time 327.88ms, mfu 7.69%
iter 137: loss 4.0356, time 418.60ms, mfu 7.59%
iter 138: loss 4.0113, time 325.25ms, mfu 7.69%
iter 139: loss 3.9387, time 417.79ms, mfu 7.59%
iter 140: loss 4.0451, time 328.07ms, mfu 7.69%
iter 141: loss 3.9947, time 416.48ms, mfu 7.59%
iter 142: loss 4.0159, time 328.36ms, mfu 7.69%
iter 143: loss 4.0168, time 417.39ms, mfu 7.59%
iter 144: loss 3.9515, time 324.62ms, mfu 7.70%
iter 145: loss 4.0296, time 424.08ms, mfu 7.59%
iter 146: loss 4.0337, time 327.79ms, mfu 7.69%
iter 147: loss 3.9309, time 419.54ms, mfu 7.59%
iter 148: loss 4.0097, time 323.41ms, mfu 7.69%
iter 149: loss 4.0242, time 424.19ms, mfu 7.59%
iter 150: loss 3.9882, time 324.05ms, mfu 7.69%
iter 151: loss 3.9853, time 418.34ms, mfu 7.60%
iter 152: loss 3.9999, time 329.34ms, mfu 7.69%
iter 153: loss 4.0470, time 418.62ms, mfu 7.59%
iter 154: loss 3.9369, time 323.81ms, mfu 7.70%
iter 155: loss 3.9841, time 421.71ms, mfu 7.59%
iter 156: loss 3.9539, time 325.22ms, mfu 7.70%
iter 157: loss 3.9181, time 420.77ms, mfu 7.59%
iter 158: loss 3.9600, time 325.43ms, mfu 7.70%
iter 159: loss 3.9698, time 419.53ms, mfu 7.59%
iter 160: loss 3.9370, time 324.39ms, mfu 7.70%
iter 161: loss 3.9997, time 419.39ms, mfu 7.60%
iter 162: loss 3.9320, time 324.67ms, mfu 7.70%
iter 163: loss 3.9370, time 420.09ms, mfu 7.60%
iter 164: loss 3.9488, time 324.57ms, mfu 7.70%
iter 165: loss 3.9436, time 419.33ms, mfu 7.60%
iter 166: loss 3.8731, time 323.68ms, mfu 7.71%
iter 167: loss 3.9598, time 426.26ms, mfu 7.60%
iter 168: loss 3.9243, time 323.34ms, mfu 7.70%
iter 169: loss 3.9821, time 420.47ms, mfu 7.60%
iter 170: loss 3.8448, time 327.49ms, mfu 7.70%
iter 171: loss 3.9359, time 414.75ms, mfu 7.60%
iter 172: loss 3.8610, time 324.51ms, mfu 7.71%
iter 173: loss 3.8720, time 422.41ms, mfu 7.60%
iter 174: loss 3.8943, time 325.47ms, mfu 7.70%
iter 175: loss 3.9277, time 420.35ms, mfu 7.60%
iter 176: loss 4.0010, time 325.52ms, mfu 7.70%
iter 177: loss 3.8464, time 414.59ms, mfu 7.61%
iter 178: loss 3.9275, time 326.76ms, mfu 7.71%
iter 179: loss 3.9288, time 423.49ms, mfu 7.60%
iter 180: loss 3.9183, time 326.28ms, mfu 7.70%
iter 181: loss 3.9383, time 418.46ms, mfu 7.60%
iter 182: loss 3.9312, time 328.87ms, mfu 7.69%
iter 183: loss 3.9605, time 422.41ms, mfu 7.59%
iter 184: loss 3.7925, time 322.46ms, mfu 7.70%
iter 185: loss 4.0015, time 428.05ms, mfu 7.58%
iter 186: loss 3.8884, time 324.65ms, mfu 7.69%
iter 187: loss 3.8486, time 419.44ms, mfu 7.59%
iter 188: loss 3.8586, time 333.11ms, mfu 7.67%
iter 189: loss 3.7902, time 424.38ms, mfu 7.57%
iter 190: loss 3.9782, time 322.18ms, mfu 7.68%
