
step 0: train loss 4.5682, val loss 4.4975
iter 105: loss 2.0756, time 142.37ms, mfu 14.44%
iter 106: loss 2.0886, time 142.51ms, mfu 14.44%
iter 107: loss 2.0358, time 142.20ms, mfu 14.43%
iter 108: loss 2.1571, time 141.90ms, mfu 14.43%
iter 109: loss 2.0948, time 140.81ms, mfu 14.44%
iter 110: loss 2.0437, time 141.73ms, mfu 14.44%
iter 111: loss 2.1106, time 141.29ms, mfu 14.44%
iter 112: loss 2.0998, time 140.58ms, mfu 14.45%
iter 113: loss 2.0817, time 143.16ms, mfu 14.44%
iter 114: loss 1.9024, time 142.82ms, mfu 14.43%
iter 115: loss 2.2124, time 140.63ms, mfu 14.44%
iter 116: loss 2.0803, time 142.40ms, mfu 14.43%
iter 117: loss 1.9483, time 140.78ms, mfu 14.44%
iter 118: loss 2.1074, time 141.93ms, mfu 14.44%
iter 119: loss 2.2431, time 141.06ms, mfu 14.45%
iter 120: loss 1.9537, time 144.75ms, mfu 14.41%
iter 121: loss 2.0558, time 141.56ms, mfu 14.42%
iter 122: loss 1.8504, time 140.17ms, mfu 14.44%
iter 123: loss 2.0967, time 142.24ms, mfu 14.43%
iter 124: loss 1.9493, time 141.39ms, mfu 14.43%
iter 125: loss 1.8649, time 142.16ms, mfu 14.43%
iter 126: loss 2.1075, time 140.69ms, mfu 14.44%
iter 127: loss 2.1141, time 144.43ms, mfu 14.41%
iter 128: loss 1.9518, time 141.36ms, mfu 14.42%
iter 129: loss 2.0832, time 140.77ms, mfu 14.43%
iter 130: loss 2.1651, time 141.86ms, mfu 14.43%
iter 131: loss 1.9655, time 141.22ms, mfu 14.44%
iter 132: loss 2.2791, time 142.81ms, mfu 14.43%
iter 133: loss 2.3036, time 140.54ms, mfu 14.44%
iter 134: loss 2.1742, time 142.39ms, mfu 14.43%
iter 135: loss 2.0812, time 142.36ms, mfu 14.43%
iter 136: loss 1.8997, time 141.06ms, mfu 14.43%
iter 137: loss 2.3046, time 142.47ms, mfu 14.43%
iter 138: loss 2.0137, time 141.00ms, mfu 14.43%
iter 139: loss 2.1176, time 141.79ms, mfu 14.43%
iter 140: loss 2.1051, time 140.23ms, mfu 14.45%
iter 141: loss 1.9503, time 142.53ms, mfu 14.44%
iter 142: loss 2.0295, time 141.78ms, mfu 14.44%
iter 143: loss 2.0377, time 141.59ms, mfu 14.44%
iter 144: loss 2.0779, time 143.29ms, mfu 14.42%
iter 145: loss 2.2198, time 140.54ms, mfu 14.44%
iter 146: loss 2.1996, time 141.42ms, mfu 14.44%
iter 147: loss 2.2051, time 140.72ms, mfu 14.45%
iter 148: loss 1.9659, time 142.06ms, mfu 14.45%
iter 149: loss 2.0806, time 142.88ms, mfu 14.43%
iter 150: loss 2.2085, time 142.29ms, mfu 14.43%
iter 151: loss 2.0198, time 143.98ms, mfu 14.41%
iter 152: loss 2.0263, time 149.01ms, mfu 14.34%
iter 153: loss 2.2260, time 149.09ms, mfu 14.28%
iter 154: loss 2.1053, time 148.26ms, mfu 14.23%
iter 155: loss 2.0850, time 147.49ms, mfu 14.19%
iter 156: loss 2.1491, time 144.54ms, mfu 14.19%
iter 157: loss 2.0626, time 140.12ms, mfu 14.23%
iter 158: loss 2.1340, time 140.96ms, mfu 14.26%
iter 159: loss 2.2024, time 142.78ms, mfu 14.27%
iter 160: loss 2.0184, time 142.26ms, mfu 14.28%
iter 161: loss 1.9284, time 140.34ms, mfu 14.31%
iter 162: loss 2.1029, time 143.12ms, mfu 14.31%
iter 163: loss 2.0004, time 141.48ms, mfu 14.32%
iter 164: loss 2.0786, time 141.83ms, mfu 14.33%
iter 165: loss 1.9394, time 141.47ms, mfu 14.34%
iter 166: loss 2.0452, time 140.88ms, mfu 14.36%
iter 167: loss 2.0318, time 142.14ms, mfu 14.37%
iter 168: loss 2.0161, time 141.32ms, mfu 14.38%
iter 169: loss 2.1212, time 146.38ms, mfu 14.34%
iter 170: loss 2.0381, time 150.69ms, mfu 14.26%
iter 171: loss 2.0042, time 147.38ms, mfu 14.22%
iter 172: loss 2.3374, time 142.41ms, mfu 14.24%
iter 173: loss 2.3249, time 144.61ms, mfu 14.23%
iter 174: loss 2.1532, time 140.68ms, mfu 14.26%
iter 175: loss 2.1008, time 143.05ms, mfu 14.26%
iter 176: loss 2.0082, time 142.74ms, mfu 14.27%
iter 177: loss 2.0914, time 142.18ms, mfu 14.28%
